sentence1,sentence2,label
seldinger法,seldinger法,1
怎么获得帐号,我qq等级很好还老开会员还在qq消费我为啥没有,0
微粒貸支持的銀行,微粒贷会影响银行贷款吗？,0
刚才开通的，现在想销户，怎么办理？,如何取消交易,0
神经性头痛,神经性头痛,1
为什么一直提醒等待银行电话,不想提醒,0
口干,口干,1
我是三星手机S5，能开通吗？,申请了，说我身份信息输入过多，不能贷，啥意思？,0
你好 我要换卡怎么换 我卡掉了,4不换卡了,0
怎么说我通过不了,综合评估未通过，要怎么解决？,0
28号凌晨扣款，28号上午才存钱是不是逾期了？,不好意思逾期了，明天就给你了,0
2次电话没接到,电话未接到，什么时候会再打？,0
一般会在多久会来电话？,一般审核借款要多久时间？,0
还清款，能继续使用吗,一次还清好还是分期还好,0
给我发个红包,"* <a href="" "">免费领取""饿了么""红包</a >",0
我已经还款了，怎么不能再借了？,现在没有钱全部还清，不能换卡还款吗,0
微粒贷多久开放,期间能借款吗,0
借款申请成功到放款需几个工作,已借款，钱迟迟未到账,0
为什么综合评估过不了,综合评分怎么设置,0
不是每个手机都能向你们借钱的吗？,一个版本苹果5s支持么,0
绑定银行卡几次都是系统提示不匹配，确定输入的信息准确,绑卡验证的时候，户名是什么？,0
血管瘤,血管瘤,1
身份信息错误过多不能借款,微粒贷账户信息查询失败是怎么会事,0
这个没有违约金是什么意思,你好，借款功能还没有开放吗,0
卡里有钱，但是提示还款失败,我是说要还的款我早己存在了卡上，今早收到信息说扣款未成功，我怕因为你们的系统问题影响了我的征信,0
2个小时了，钱还没到,2016微粒贷什么时候开通,0
10分前借了微粒贷借款现在还没到账,1我款没收到,0
微众银行今天怎么总是登录失败,邀请好友怎么不成功,0
为什么还不给我开微粒贷！真是等死人了都！！！,帮我开通微粒贷吧,0
我的微粒贷已经还清，怎么能打出结清证明？,结清证明需要多久,0
没有哪里输入姓名和身份验证呀,我输错了身份信息，现在锁定了怎么办,0
前天申请的借款还没有收到电话审核,如何换卡,0
提前还款不让借,我想提前还款。,0
没能还款,你怎么还不睡觉,0
你好  我把款還清之后能開結清證明嗎,你好帮我开结清证明,0
什么时候可以开通微粒贷,借了一笔微粒贷成功后可以连着申请第二笔吗,0
看不到微粒贷图标 借款期限,怎么过得微粒贷借款资格,0
怎么填资料,你好 能收到我的信息吗,0
活期＋，也就是货币基金001234，每日转到建行银行卡有额度限制吗,我想问下微众的国华月月盈赎回是否只能到微众卡？,0
免息劵领取,一次七天免息机会领取,0
主动脉夹层形成,主动脉夹层,1
我的还款还有三期，如果提前还清后，我能获取额度嘛？,如果提前还钱的话！余下的利息就不要还了对吗,0
伴我来开通,借款网站打不开,0
不好意思，刚在忙，没带手机。抱歉,iPhone怎么没有微粒货,0
返回主页,微粒贷页面过期,0
信息,既然贵公司推广，为何不让主动申请呢，估计贵司风险评估师不怎样,0
借款要求,推荐开通,0
今天借5000，明天还，不用管分期还款的问题吧，只计算两天的利息,今天借款周一还上有多钱的利息,0
胆囊管低位汇合,胆囊管低位汇合,1
我的还款扣了吗,还了款可以马上借款？？,0
怎么绑定银行卡,我是想问开户绑定的银行卡要开通网银或者是手机银行吗？,0
如何查询账,如何查看还款日,0
贷款银行电话确定,我用的是工商银行信用卡,0
15分钟还未到,3000已经到账，谢谢,0
如何更改延迟还款日期？,可以延迟还款日吗？,0
4号申请的怎么还没有电话确认,不好意思，晚上来电没有听见。,0
好谢谢不需要,我说的是买产品的时候有没有短信通知,0
1万元五天一次还款利息多少？,为何还款了不显示额度,0
帮我查询一下我的账单是否有问题,为什么消费那么多都没有 怎样开通,0
怎样查询帐单,为什么，还有账单,0
借款多少时间放款,凌晨放款吗,0
还完以后，额度回来能马上再借吗？,我可以分批借款吗,0
你能拍个贷款结清证明给我吗？,你好-，因办理贷款，银行需要我提供微利贷还清证明，请问如何查询？,0
在征信中的状态多久恢复？,我绑定还款的卡被吞掉了，换了绑定的卡，但是显示还是之前的卡。,0
什么时间开始收取利息,借1500什么时候还，利息1天是多少钱？,0
什么是加分了,如果提前还清贷款，利息还会照算吗,0
到期未还怎么办,3600逾期罚多少,0
15分钟内没有接到电话,上午错过了电话，请再次致电,0
为啥子，我没得微粒贷喃！,为什么我进入微粒货，总是说微粒货即将开放,0
上午申请的，,。。。怎么开通阿,0
之前有借过款，为啥会综合评估未通过,为什么我评估不通过？需要什么样的条件呢,0
我借现金,单笔提现必须大于500吗？,0
一次最高二万吗？,一天为什么最多只能还8万,0
怎么才能借贷,为什么我审核木有通过？,0
一般什么时间下款,1:何时微粒贷可以申请吗,0
10小时之前我的审批额度是5500，但我没有借款，现在怎么无法借款了,~~~我想使用微粒贷但是系统告诉我我没有满足微众银行的审批要求这是为什,0
你好  我把款還清之后能開結清證明嗎,你好，我己还清所有贷款，是否需要贵司出具还清证明？会否影响到日后我到传统银行的贷款？,0
你好，我的账户怎么会还款失败,为什么我也打钱了怎么还还款失败呢？,0
还清款，能继续使用吗,全部还清是随时还,0
信息输错了，借不到怎么办,个人信息填写不了,0
我收款的银行卡没用了，可以换过卡吗,换卡好了,0
我的怎么还没开通,如何才能受邀,0
为啥我没入口,1无法借款,0
1看业务账单,如何知道我的全部帐单,0
你好没有借款功能吗？,违约金怎么拿,0
绝育,绝育术,1
微粒贷客服人员,我想要微粒贷啊,0
今天拿到的钱，还款是下个月2号吧,今天借明天还需要利息吗,0
就是说延迟一天买事的,帐单有延期宽限日吗,0
今天是还款曰,你好如果我下个月全还清，还需要付后期的利息吗,0
如何手动还款,怎么提额，都按时还款了好多期,0
审批要求,审批进度,0
如何提供资料开通,几时能收到开通的信息,0
资料完善,你好，有人回复此信息吗？,0
使用微粒贷会有短信提醒吗,如何取消绑定的收款银行卡,0
核实电话收到了。但款没收到,要多久才知道审批是否通过,0
我验证时不小心输错了身份证号码怎么办,后期借钱还需要身份验证吗,0
借款,qq上能贷款？,0
启脾口服液,启脾口服液,1
卡上早已转入2000元，为何未从浦发银行扣款,两次扣款失败，我刚看到冲钱到卡里了。没有人工还款的吗？,0
你好，借款功能还没有开放吗,什么情况算是违约,0
早上5点多钟申请借款的！借款什么时侯到帐？要等到上班时才到帐吗？,一般都多长时间打确认电话,0
什么银行支持,银行没扣,0
怎么没有那页面呢,怎么才可以开通我的微粒,0
什么叫微众,为什么微信钱包没有微众银行的,0
中草药,中草药,1
为什么我没有,:我微信里没看到微粒贷那个标志,0
1:何时会邀请我使用微利贷,咋不邀请我,0
一个月能借几次,几时能再借款,0
何时会邀请我使用微利贷？没有微利贷可以申请借钱吗,借款笔数,0
什么时候再打电话我,一般在什么时间来电,0
日常消费是什么,我要还款,0
为么我没微粒贷,不能用是怎么回事,0
到帐需要多少个工作日,电话验证要多久,0
银行要我出示我已还清向你们借款的证明,打还款凭证,0
信息输错了怎么办,上交资料,0
我怎么没微粒的功能,我的微信，qq上都有微粒贷标志就是借不了，,0
内镜下胃息肉切除术,胃息肉术,1
已经存到卡里了怎么不扣啊,15号凌晨自动扣款，那15号24点之前卡上到款再还可以么？会不会有什么不良记录,0
下月几号可以还款,你好。请问还款日是1号，最晚什么时间还是不算逾期的？,0
你好 这两天我的微众账户的“齐鲁稳固21（0303）”没办法修改到期后安排。,齐鲁稳固21用活期+购买，,0
借款,可以借款不？,0
什么时候我可以贷款成功？,全额还款后，再次借款被拒,0
明天还款需要还多少？,我还款的时候钱存哪张卡？,0
全额还款后可以马上申请贷款吗？,为什么钱扣了还款失败？,0
你好，我的银行卡卡丢失，现在正在补卡，今天可能扣不了款，估计要一星期左右才能补回来，不知道这样的事情怎么办,Qq怎么还款,0
你好，我的为什么提示信息不一致？,个人信息补充,0
提醒验证码输入过多，该怎么办？,收到验证码后闪退,0
你们支持那些银行,银行确定,0
一次性还完借款后能否再借,不可以提前还这一期的款吗,0
1看不到微粒贷图标,2.没有微粒贷可以申请吗?,0
为什么会显示请求信息非法,不给我开放就不要发信息给我,0
下腹痛,下腹部疼痛,1
我想问刚才打我电话说这个钱不能用于什么途径？,为什么不能用于购房,0
通知你妈，没给我微粒贷，还要通知我,还款快到了，有提醒功能吗,0
还清了这比款可不可以在借,款项还清后，会不会存在继续扣费的现象,0
还有活动吗,商户优惠,0
怎么样改成零钱还款啊？,还了一部分还能用吗？,0
提示无法查看额度,可以查看额度 却不能借,0
为什么我有了额度却不能借款,什么时候才开放啊,0
一直开户，人脸识别不成功，近视又不让带眼镜又要读数字，看也看不清，怎么都开不了户,开户了,0
今天到期，怎么现在还不了呢,怎么提额，都按时还款了好多期,0
没有微利带,借钱,0
你好我申请微粒贷一直未接到电话确认？,我能申请马上审核吗？,0
今下午两点前可以存上钱。请抵扣，谢谢！,什么时候扣,0
还款是否成功？,还款卡上用钱了，可以扣了,0
为什么我卡上明明余额够却说还款失败？,今天借1万明天全额还款，利息怎么算？,0
为什么借款额度这么低,为什么你给的授信额度是十万我只能贷一万,0
关注多久产生微粒贷,借款到帐,0
我已经还款并且已经扣款成功，为什么还提醒我逾期了呢,我昨晚已经还款了怎么还一直提醒我逾期,0
qq上得微粒贷跟微信上的一样吗,qq没有微粒贷怎么申请,0
更多菜单,你好！我想问一下为什么我的钱包没有微粒贷？,0
一共还有多少借款未还？,为什么我的还款还没拿走,0
可以一次借10万,我的额度有10万。一次最多只能借4万吗,0
为什么我最后确认借钱那里总是显示我输入错误次数太多借款失败？,为什么说我的身份信息错误多次不能借款呢 我第一次用啊,0
为什么我还款掉之后就不能借了,3 我想用微信也能还款，信用卡都可以，为啥这个不行,0
亲，利息什么时候支付呢,這個是從借款的那天就要開始算利息了嗎？,0
为什么我有微粒贷但是说我未满足微众银行的要求,建设银行有微粒贷的资格吗,0
怎么我找不到定期存款入口,5年定期存款,0
单笔最高多少,亲请问我比如货款一万一个月是多少钱,0
我在哪里看我的借还记录,只有借还记录,0
分期之后可以提前还清欠款吗,也就是不管是分几个分还款，提前还款也就只需要付实际借款天数的利息就可以了是吗,0
审核电话时间,审核时间需要多久？,0
不能。每月都要逾期3天这样对信誉不好吧,不会逾期撒,0
为什么用微粒贷验证码发到原来手机上呢,为什么重复发送验证码？？？,0
下午五点准时扣款吗？,一个额度分两次借款，还款时应该怎么还？,0
